,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
73,Page,13,2113,Essex,4,11,15,73.3,,2,9,11,81.8,,4,11,15,73.3,,3,12,15,80,,2,11,13,84.6,,1,15,16,93.8,,0,12,12,100,,,
32,Emmet,05,2124,Estherville Lincoln,19,73,92,79.3,,29,67,96,69.8,,29,73,102,71.6,,30,58,88,65.9,,12,72,84,85.7,,21,59,80,73.8,,15,63,78,80.8,,,
83,Shelby,11,2151,Exira-Elk Horn-,1,17,18,94.4,,2,24,26,92.3,,6,17,23,73.9,,4,16,20,80,,10,21,31,67.7,,0,18,18,100,,2,18,20,90,,,
51,Jefferson,15,2169,Fairfield,38,77,115,67,,39,80,119,67.2,,23,75,98,76.5,,20,99,119,83.2,,15,98,113,86.7,,19,93,112,83,,33,79,112,70.5,,,
36,Fremont,13,2205,Farragut,2,10,12,83.3,,6,6,12,50,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,6,20,26,76.9,,,
95,Winnebago,07,2295,Forest City,6,69,75,92,,6,53,59,89.8,,19,52,71,73.2,,18,61,79,77.2,,10,75,85,88.2,,19,69,88,78.4,,5,70,75,93.3,,,
94,Webster,05,2313,Fort Dodge,87,133,220,60.5,,89,166,255,65.1,,112,145,257,56.4,,88,150,238,63,,59,182,241,75.5,,102,128,230,55.7,,64,177,241,73.4,,,
56,Lee,15,2322,Fort Madison,28,92,120,76.7,,47,86,133,64.7,,44,90,134,67.2,,40,91,131,69.5,,15,110,125,88,,48,84,132,63.6,,23,137,160,85.6,,,
36,Fremont,13,2369,Fremont-Mills,7,28,35,80,,2,21,23,91.3,,4,25,29,86.2,,2,27,29,93.1,,3,31,34,91.2,,1,24,25,96,,5,23,28,82.1,,,
47,Ida,12,2376,Galva-Holstein,0,32,32,100,,1,24,25,96,,0,26,26,100,,0,0,0,,,0,0,0,,,0,0,0,,,6,58,64,90.6,,,
41,Hancock,07,2403,Garner-Hayfield,9,55,64,85.9,,15,48,63,76.2,,7,50,57,87.7,,9,41,50,82,,0,0,0,,,0,0,0,,,7,79,86,91.9,,,
60,Lyon,12,2457,George-Little Rock,3,32,35,91.4,,9,25,34,73.5,,7,18,25,72,,7,24,31,77.4,,6,22,28,78.6,,10,27,37,73,,4,31,35,88.6,,,
85,Story,11,2466,Gilbert,6,104,110,94.5,,1,102,103,99,,2,89,91,97.8,,3,104,107,97.2,,0,100,100,100,,3,100,103,97.1,,5,86,91,94.5,,,
46,Humboldt,05,2493,Gilmore City-Bradgate,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,,
38,Grundy,07,2502,Gladbrook-Reinbeck,2,30,32,93.8,,4,35,39,89.7,,3,31,34,91.2,,6,26,32,81.3,,9,24,33,72.7,,17,28,45,62.2,,3,36,39,92.3,,,
65,Mills,13,2511,Glenwood,2,119,121,98.3,,26,121,147,82.3,,8,115,123,93.5,,16,124,140,88.6,,11,134,145,92.4,,29,120,149,80.5,,37,100,137,73,,,
14,Carroll,11,2520,Glidden-Ralston,7,13,20,65,,1,14,15,93.3,,6,17,23,73.9,,5,13,18,72.2,,0,24,24,100,,3,24,27,88.9,,5,24,29,82.8,,,
