County,County Name,AEA,District #,District Name,Grade 3 Not Proficient,Grade 3 Proficient,Grade 3 Total Tested,Grade 3 % Proficient,,Grade 4 Not Proficient,Grade 4 Proficient,Grade 4 Total Tested,Grade 4 % Proficient,,Grade 5 Not Proficient,Grade 5 Proficient,Grade 5 Total Tested,Grade 5 % Proficient,,Grade 6 Not Proficient,Grade 6 Proficient,Grade 6 Total Tested,Grade 6 % Proficient,,Grade 7 Not Proficient,Grade 7 Proficient,Grade 7 Total Tested,Grade 7 % Proficient,,Grade 8 Not Proficient,Grade 8 Proficient,Grade 8 Total Tested,Grade 8 % Proficient,,Grade 10 Not Proficient,Grade 10 Proficient,Grade 10 Total Tested,Grade 10 % Proficient,,Grade 11 Not Proficient,Grade 11 Proficient,Grade 11 Total Tested,Grade 11 % Proficient,,,
77,Polk,11,1737,Des Moines Independent Comm School District,"1,092","1,185","2,277",52.0,,"1,151","1,193","2,344",50.9,,"1,254","1,175","2,429",48.4,,"1,148","1,200","2,348",51.1,,"1,113","1,203","2,316",51.9,,"1,030","1,112","2,142",51.9,,"1,032",971,"2,003",48.5,,"1,200",764,"1,964",38.9,,,
80,Ringgold,13,1782,Diagonal Comm School District,4,6,10,60.0,,small N,small N,small N,small N,,1,10,11,90.9,,small N,small N,small N,small N,,2,9,11,81.8,,1,11,12,91.7,,small N,small N,small N,small N,,small N,small N,small N,small N,,,
38,Grundy,07,1791,Dike-New Hartford Comm School District,6,65,71,91.5,,17,46,63,73.0,,14,47,61,77.0,,16,57,73,78.1,,15,51,66,77.3,,19,40,59,67.8,,23,48,71,67.6,,14,54,68,79.4,,,
31,Dubuque,01,1863,Dubuque Comm School District,198,517,715,72.3,,204,557,761,73.2,,235,577,812,71.1,,257,568,825,68.8,,220,492,712,69.1,,212,536,748,71.7,,291,498,789,63.1,,215,525,740,70.9,,,
07,Black Hawk,07,1908,Dunkerton Comm School District,11,14,25,56.0,,10,12,22,54.5,,5,29,34,85.3,,10,27,37,73.0,,13,17,30,56.7,,5,23,28,82.1,,15,21,36,58.3,,14,16,30,53.3,,,
43,Harrison,13,1917,Boyer Valley Comm School District,8,25,33,75.8,,15,18,33,54.5,,4,27,31,87.1,,6,22,28,78.6,,4,26,30,86.7,,15,16,31,51.6,,14,23,37,62.2,,8,21,29,72.4,,,
16,Cedar,09,1926,Durant Comm School District,16,34,50,68.0,,15,29,44,65.9,,21,24,45,53.3,,23,26,49,53.1,,20,36,56,64.3,,17,34,51,66.7,,13,36,49,73.5,,21,24,45,53.3,,,
99,Wright,05,1944,Eagle Grove Comm School District,22,40,62,64.5,,24,43,67,64.2,,34,36,70,51.4,,39,44,83,53.0,,24,46,70,65.7,,29,33,62,53.2,,31,27,58,46.6,,36,25,61,41.0,,,
61,Madison,11,1953,Earlham Comm School District,8,32,40,80.0,,5,38,43,88.4,,6,48,54,88.9,,3,34,37,91.9,,6,35,41,85.4,,7,24,31,77.4,,7,36,43,83.7,,18,34,52,65.4,,,
10,Buchanan,07,1963,East Buchanan Comm School District,11,39,50,78.0,,14,21,35,60.0,,27,19,46,41.3,,17,31,48,64.6,,21,31,52,59.6,,19,23,42,54.8,,12,36,48,75.0,,13,28,41,68.3,,,
49,Jackson,09,1965,Easton Valley Comm School District,6,14,20,70.0,,14,21,35,60.0,,11,20,31,64.5,,15,19,34,55.9,,12,28,40,70.0,,15,23,38,60.5,,9,29,38,76.3,,8,26,34,76.5,,,
64,Marshall,07,1968,East Marshall Comm School District,9,48,57,84.2,,11,51,62,82.3,,27,44,71,62.0,,19,45,64,70.3,,18,46,64,71.9,,11,47,58,81.0,,22,27,49,55.1,,16,30,46,65.2,,,
88,Union,13,1970,East Union Comm School District,5,16,21,76.2,,8,26,34,76.5,,15,35,50,70.0,,7,30,37,81.1,,13,22,35,62.9,,6,27,33,81.8,,11,27,38,71.1,,20,15,35,42.9,,,
03,Allamakee,01,1972,Eastern Allamakee Comm School District,0,16,16,100.0,,1,16,17,94.1,,2,22,24,91.7,,2,20,22,90.9,,2,23,25,92.0,,5,18,23,78.3,,5,16,21,76.2,,7,32,39,82.1,,,
97,Woodbury,12,1975,River Valley Comm School District,10,19,29,65.5,,8,17,25,68.0,,12,18,30,60.0,,7,18,25,72.0,,6,20,26,76.9,,13,21,34,61.8,,16,21,37,56.8,,12,12,24,50.0,,,
